"target_child_name","gloss_count"
"Adam",4
"Alex",135
"Alfred",2
"Alice",106
"Benjamin",36
"Brian",1
"Brooke",9
"Carol",12
"Danielle",5
"David",75
"Doug",1
"Emily",2
"Emma",4
"Erica",3
"Ethan",269
"Jas",2
"Jase",88
"Jessica",12
"Jillian",75
"Johnnie",22
"Katie",3
"Kevin",4
"Kimberly",4
"Laura",55
"Laurel",18
"Lily",1289
"Martin",33
"Matt",85
"Megan",2
"Naima",964
"Nanette",15
"Nicole",10
"Patricia",3
"Patrick",1
"Peter",1
"Richard",1
"Rick",51
"Robert",1
"Roman",1
"Ronny",46
"Sarah",2
"Shawna",3
"Victor",6
"Violet",460
"Wendy",3
"William",160
